Sun Mar  8 12:16:41 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 18 bajta
Sun Mar  8 12:16:48 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 15 bajta
Sun Mar  8 12:16:57 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:16:57 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:26:56 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 12:27:08 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 12:27:10 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 9 bajta
Sun Mar  8 12:27:11 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 9 bajta
Sun Mar  8 12:27:12 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 9 bajta
Sun Mar  8 12:27:15 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 11 bajta
Sun Mar  8 12:27:17 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:27:19 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:28:17 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 12:28:24 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 12:28:27 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 11 bajta
Sun Mar  8 12:28:30 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 11 bajta
Sun Mar  8 12:28:33 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 12 bajta
Sun Mar  8 12:28:36 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 8 bajta
Sun Mar  8 12:28:36 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 8 bajta
Sun Mar  8 12:28:36 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 8 bajta
Sun Mar  8 12:28:36 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 8 bajta
Sun Mar  8 12:28:36 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 8 bajta
Sun Mar  8 12:28:36 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 9 bajta
Sun Mar  8 12:28:37 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 8 bajta
Sun Mar  8 12:28:37 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 8 bajta
Sun Mar  8 12:28:37 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 8 bajta
Sun Mar  8 12:28:37 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 8 bajta
Sun Mar  8 12:28:40 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 11 bajta
Sun Mar  8 12:28:41 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:28:42 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:32:53 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 12:33:03 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 12:33:12 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 12 bajta
Sun Mar  8 12:33:19 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:33:20 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:35:13 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 12:35:20 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 12:35:30 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 12:35:33 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 12:35:35 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:35:36 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:36:48 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 12:36:57 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 12:36:59 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 14 bajta
Sun Mar  8 12:37:00 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:37:36 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 12:37:44 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 12:37:52 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 12:37:58 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 9 bajta
Sun Mar  8 12:38:03 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 15 bajta
Sun Mar  8 12:38:07 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 13 bajta
Sun Mar  8 12:38:10 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:38:11 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:42:45 2020 | [!]Novi user! U_ERR -> 192.168.1.5!
Sun Mar  8 12:42:53 2020 | [+]Novi user upisan u databazu:  -> 192.168.1.5
Sun Mar  8 12:44:28 2020 | [!]Novi user! U_ERR -> 192.168.1.5!
Sun Mar  8 12:44:32 2020 | [+]Novi user upisan u databazu:  -> 192.168.1.5
Sun Mar  8 12:44:53 2020 | [!]Novi user! U_ERR -> 192.168.1.5!
Sun Mar  8 12:44:57 2020 | [+]Novi user upisan u databazu: miki
 -> 192.168.1.5
Sun Mar  8 12:45:00 2020 | [!]Prihvacena konekcija klijent: miki
, 192.168.1.5, 4
Sun Mar  8 12:45:12 2020 | [m]Dobio sam poruku od 192.168.1.5, miki
, 4 bajta
Sun Mar  8 12:45:27 2020 | [-]Klijent: miki
, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:48:27 2020 | [!]Novi user! U_ERR -> 192.168.1.5!
Sun Mar  8 12:48:29 2020 | [!]Saljem U_ERR flag -> 192.168.1.5, miki je zauzeto!
Sun Mar  8 12:48:33 2020 | [!]Saljem U_ERR flag -> 192.168.1.5, jovan je zauzeto!
Sun Mar  8 12:48:37 2020 | [+]Novi user upisan u databazu: mirko -> 192.168.1.5
Sun Mar  8 12:48:40 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 12:48:40 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 7 bajta
Sun Mar  8 12:48:42 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 9 bajta
Sun Mar  8 12:48:50 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 12:48:52 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 3 bajta
Sun Mar  8 12:48:56 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 13 bajta
Sun Mar  8 12:49:05 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 27 bajta
Sun Mar  8 12:49:09 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 15 bajta
Sun Mar  8 12:49:16 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 5 bajta
Sun Mar  8 12:49:25 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 3 bajta
Sun Mar  8 12:49:31 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 12:49:33 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 12 bajta
Sun Mar  8 12:49:34 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:49:35 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:56:46 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 12:56:53 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 12:56:56 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 6
Sun Mar  8 12:56:56 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 9 bajta
Sun Mar  8 12:56:58 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 12:57:02 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 27 bajta
Sun Mar  8 12:57:09 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 21 bajta
Sun Mar  8 12:57:12 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:57:12 2020 | [-]Klijent: mirko, fd->6, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:57:13 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:59:51 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 12:59:58 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 13:00:01 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 6
Sun Mar  8 13:00:03 2020 | [-]Klijent: mirko, fd->6, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:00:09 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 6
Sun Mar  8 13:00:13 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 9 bajta
Sun Mar  8 13:00:16 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 18 bajta
